TaoSusan,4.7
Arillia,5.6
Sany,6.3
Briissa,8.7
Altherea,2
Niska,6.4
Sunshine,1.8
Xenia,1.9
Tiger,1.5
China4,2.1
NIRVANA,11.8
Caliste,1.7
Madara,3.8
Mei,2.04
XiaoJie,3.4
Yume,2.4
Poxxity,4.4
Jinnah,5.0
China1,7.6
China2,5.4
HeyMin,1.7
FanMei,5.0
Kya,1.3
China3,9.89
Ensinaria,2
Mushar,5.3
Asoka,10.7
Eon,2.8
Tuta,10
Celeste,0.7
Ina,10.8
Gloria,1
Ray,1.4
Yurmi,2.1
Akane,5
Kaeya,8.3
JingaJ,1.8
Seita,1.3
Yulong,1.6
Bangui,0.8
Beth,1.2
Yakki,0.9
Skyri,0.8
Rhiah,13.4
Xylem,2.3
